,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.location.neighborhood
0,e-0-5010afc9e4b090757f48c99a-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",5010afc9e4b090757f48c99a,Café VeloDome (คาเฟ่ เวโลโดม),Phra Chan Rd.,13.755757,100.492017,"[{'label': 'display', 'lat': 13.755757, 'lng': 100.492017}]",185,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Phra Chan Rd.', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",0,[],,
1,e-0-4b0587f9f964a52001aa22e3-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b0587f9f964a52001aa22e3,Temple of the Emerald Buddha (วัดพระศรีรัตนศาสดาราม (วัดพระแก้ว)),Na Phra Lan Rd,13.751734643691861,100.49265146255493,"[{'label': 'display', 'lat': 13.751734643691861, 'lng': 100.49265146255493}]",302,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Na Phra Lan Rd (Maha Rat Rd)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a3e', 'name': 'Buddhist Temple', 'pluralName': 'Buddhist Temples', 'shortName': 'Buddhist Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}, 'primary': True}]",0,[],Maha Rat Rd,
2,e-0-4c029d3c302295213c6fde81-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c029d3c302295213c6fde81,Thokkathan-Mother Earth Squeezing Her Hair (พระแม่ธรณีบีบมวยผม อุทกทาน),Ratchadamnoen Nai Rd.,13.756601843910255,100.49476730464075,"[{'label': 'display', 'lat': 13.756601843910255, 'lng': 100.49476730464075}]",306,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Ratchadamnoen Nai Rd. (Rachini Rd.)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d131941735', 'name': 'Spiritual Center', 'pluralName': 'Spiritual Centers', 'shortName': 'Spiritual', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}, 'primary': True}]",0,[],Rachini Rd.,
3,e-0-4ceb69b1d27560fca3439b3a-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4ceb69b1d27560fca3439b3a,The Grand Palace (พระบรมมหาราชวัง),Na Phra Lan Rd,13.751813689290364,100.49117576966269,,353,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Na Phra Lan Rd (Maha Rat Rd & Sanam Chai Rd)', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a14', 'name': 'Palace', 'pluralName': 'Palaces', 'shortName': 'Palace', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}, 'primary': True}]",0,[],Maha Rat Rd & Sanam Chai Rd,
4,e-0-4d9bdddd7ae5548198a34174-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d9bdddd7ae5548198a34174,Prasat Phra Thep Bidon (ปราสาทพระเทพบิดร),Temple of the Emerald Buddha,13.751606,100.49272,"[{'label': 'display', 'lat': 13.751606, 'lng': 100.49272}]",315,10200,TH,พระบรมมหาราชวัง,กรุงเทพมหานคร,ประเทศไทย,"['Temple of the Emerald Buddha', 'พระบรมมหาราชวัง', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a14', 'name': 'Palace', 'pluralName': 'Palaces', 'shortName': 'Palace', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/default_', 'suffix': '.png'}, 'primary': True}]",0,[],,
5,e-0-50dfa3fbe4b0eb1fe51ec7ef-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",50dfa3fbe4b0eb1fe51ec7ef,Siwamokhaphiman Hall (พระที่นั่งศิวโมกขพิมาน),Bangkok National Museum,13.757516,100.49214,"[{'label': 'display', 'lat': 13.757516, 'lng': 100.49214}]",357,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Bangkok National Museum', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d181941735', 'name': 'Museum', 'pluralName': 'Museums', 'shortName': 'Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_', 'suffix': '.png'}, 'primary': True}]",0,[],,Phra Borom Maha Ratchawang
6,e-0-4d20393a0901721e6ffc90a5-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4d20393a0901721e6ffc90a5,พระที่นั่งพุทไธสวรรย์,Bangkok National Museum,13.7578945,100.4921,"[{'label': 'display', 'lat': 13.7578945, 'lng': 100.4921}]",399,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Bangkok National Museum', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d190941735', 'name': 'History Museum', 'pluralName': 'History Museums', 'shortName': 'History Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_', 'suffix': '.png'}, 'primary': True}]",0,[],,Phra Borom Maha Ratchawang
7,e-0-4bb04db0f964a52057403ce3-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bb04db0f964a52057403ce3,Wat Mahathat Yuwarajarangsarit Rajaworamahavihara (วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร),Maha Rat Rd,13.755066642937557,100.49048941692712,"[{'label': 'display', 'lat': 13.755066642937557, 'lng': 100.49048941692712}]",284,10200,TH,พระบรมมหาราชวัง,กรุงเทพมหานคร,ประเทศไทย,"['Maha Rat Rd', 'พระบรมมหาราชวัง', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '52e81612bcbc57f1066b7a3e', 'name': 'Buddhist Temple', 'pluralName': 'Buddhist Temples', 'shortName': 'Buddhist Temple', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/religious_', 'suffix': '.png'}, 'primary': True}]",0,[],,
8,e-0-4bda4a3e3904a593c40d469e-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4bda4a3e3904a593c40d469e,Bangkok National Museum (พิพิธภัณฑสถานแห่งชาติ พระนคร),Na Phra That Rd,13.757215438529597,100.49243957896135,"[{'label': 'display', 'lat': 13.757215438529597, 'lng': 100.49243957896135}]",317,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['Na Phra That Rd', 'พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4bf58dd8d48988d190941735', 'name': 'History Museum', 'pluralName': 'History Museums', 'shortName': 'History Museum', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/museum_history_', 'suffix': '.png'}, 'primary': True}]",0,[],,
9,e-0-4f83c20ce4b0443298bee012-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4f83c20ce4b0443298bee012,Tha Prachan (ท่าพระจันทร์),,13.756201088298637,100.48968227270649,"[{'label': 'display', 'lat': 13.756201088298637, 'lng': 100.48968227270649}]",413,10200,TH,พระนคร,กรุงเทพมหานคร,ประเทศไทย,"['พระนคร', 'กรุงเทพมหานคร 10200', 'ประเทศไทย']","[{'id': '4f2a25ac4b909258e854f55f', 'name': 'Neighborhood', 'pluralName': 'Neighborhoods', 'shortName': 'Neighborhood', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/neighborhood_', 'suffix': '.png'}, 'primary': True}]",0,[],,
