,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.neighborhood,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.crossStreet,venue.delivery.id,venue.delivery.url,venue.delivery.provider.name,venue.delivery.provider.icon.prefix,venue.delivery.provider.icon.sizes,venue.delivery.provider.icon.name,venue.venuePage.id
0,e-0-57f0689d498e7d49d9189369-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",57f0689d498e7d49d9189369,The Bar Room at Temple Court,123 Nassau St,40.7114477287544,-74.00680157032005,"[{'label': 'display', 'lat': 40.7114477287544, 'lng': -74.00680157032005}]",157,10038,US,Financial District,New York,NY,United States,"['123 Nassau St', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d1d5941735', 'name': 'Hotel Bar', 'pluralName': 'Hotel Bars', 'shortName': 'Hotel Bar', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_bar_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,
1,e-0-56d8c0f8498edb854f926e6a-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",56d8c0f8498edb854f926e6a,"The Beekman, A Thompson Hotel",123 Nassau St,40.7111725,-74.0067017,"[{'label': 'display', 'lat': 40.7111725, 'lng': -74.0067017}]",182,10038,US,,New York,NY,United States,"['123 Nassau St (Beekman St)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d1fa931735', 'name': 'Hotel', 'pluralName': 'Hotels', 'shortName': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}, 'primary': True}]",0,[],Beekman St,2476558,https://www.seamless.com/menu/the-bar-room-at-the-beekman-5-beekman-street-new-york/2476558?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2476558,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
2,e-0-4c606c3e1e5cd13ad1a1a1ed-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c606c3e1e5cd13ad1a1a1ed,Alba Dry Cleaner & Tailor,140 Nassau St,40.71143355866638,-74.00627233822603,"[{'label': 'display', 'lat': 40.71143355866638, 'lng': -74.00627233822603}, {'label': 'entrance', 'lat': 40.711317, 'lng': -74.006246}]",145,10038,US,,New York,NY,United States,"['140 Nassau St (Beekman and Spruce st)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d1fc941735', 'name': 'Laundry Service', 'pluralName': 'Laundry Services', 'shortName': 'Laundry', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/laundry_', 'suffix': '.png'}, 'primary': True}]",0,[],Beekman and Spruce st,,,,,,,40218202
3,e-0-3fd66200f964a520d8f11ee3-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",3fd66200f964a520d8f11ee3,City Hall Park,17 Park Row,40.71189313746398,-74.00779157376718,,176,10038,US,,New York,NY,United States,"['17 Park Row (btwn Broadway & Centre St)', 'New York, NY 10038', 'United States']","[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",0,[],btwn Broadway & Centre St,,,,,,,
4,e-0-53373f26498e940581c90985-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",53373f26498e940581c90985,Gibney Dance Center Downtown,280 Broadway,40.71392316324669,-74.0056614920451,"[{'label': 'display', 'lat': 40.71392316324669, 'lng': -74.0056614920451}]",136,10007,US,,New York,NY,United States,"['280 Broadway (Chambers St)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d134941735', 'name': 'Dance Studio', 'pluralName': 'Dance Studios', 'shortName': 'Dance Studio', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/performingarts_dancestudio_', 'suffix': '.png'}, 'primary': True}]",0,[],Chambers St,,,,,,,
5,e-0-56093809498e5344ab8835a6-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",56093809498e5344ab8835a6,The Wooly Daily,11 Barclay St,40.71213724343698,-74.00839457685005,"[{'label': 'display', 'lat': 40.71213724343698, 'lng': -74.00839457685005}]",211,10007,US,,New York,NY,United States,"['11 Barclay St (Broadway)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",0,[],Broadway,,,,,,,487012576
6,e-0-58a253c830ecc66c9e5b40a0-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",58a253c830ecc66c9e5b40a0,The Class by Taryn Toomey,22 Park Pl,40.71275251771485,-74.00873355601571,"[{'label': 'display', 'lat': 40.71275251771485, 'lng': -74.00873355601571}, {'label': 'entrance', 'lat': 40.712781, 'lng': -74.008548}]",229,10007,US,,New York,NY,United States,"['22 Park Pl', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d175941735', 'name': 'Gym / Fitness Center', 'pluralName': 'Gyms or Fitness Centers', 'shortName': 'Gym / Fitness', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,
7,e-0-52001eed498e9ac16ca5e20b-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",52001eed498e9ac16ca5e20b,CrossFit 212 TriBeCa,281 Broadway,40.714537431170484,-74.00599852611592,"[{'label': 'display', 'lat': 40.714537431170484, 'lng': -74.00599852611592}]",201,10007,US,,New York,NY,United States,"['281 Broadway', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d176941735', 'name': 'Gym', 'pluralName': 'Gyms', 'shortName': 'Gym', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/gym_', 'suffix': '.png'}, 'primary': True}]",0,[],,,,,,,,
8,e-0-4c154c9a77cea593c401d260-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4c154c9a77cea593c401d260,Takahachi Bakery,25 Murray St,40.713652845301894,-74.0088038953017,"[{'label': 'display', 'lat': 40.713652845301894, 'lng': -74.0088038953017}, {'label': 'entrance', 'lat': 40.713716, 'lng': -74.008443}]",256,10007,US,,New York,NY,United States,"['25 Murray St (at Church St)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d16a941735', 'name': 'Bakery', 'pluralName': 'Bakeries', 'shortName': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}, 'primary': True}]",0,[],at Church St,2515459,https://www.seamless.com/menu/takahachi-bakery-25-murray-street-new-york/2515459?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=2515459,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,85495566
9,e-0-575dea4c498e2739e43a27e2-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",575dea4c498e2739e43a27e2,Aahar Indian Cuisine,10 Murray St,40.71330656515891,-74.00799405698501,"[{'label': 'display', 'lat': 40.71330656515891, 'lng': -74.00799405698501}]",178,10007,US,,New York,NY,United States,"['10 Murray St (Broadway)', 'New York, NY 10007', 'United States']","[{'id': '4bf58dd8d48988d10f941735', 'name': 'Indian Restaurant', 'pluralName': 'Indian Restaurants', 'shortName': 'Indian', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/indian_', 'suffix': '.png'}, 'primary': True}]",0,[],Broadway,333939,https://www.seamless.com/menu/aahar-indian-cuisine-10-murray-st-new-york/333939?affiliate=1131&utm_source=foursquare-affiliate-network&utm_medium=affiliate&utm_campaign=1131&utm_content=333939,seamless,https://fastly.4sqi.net/img/general/cap/,"[40, 50]",/delivery_provider_seamless_20180129.png,
