,name,categories,lng,lat
0,Café VeloDome (คาเฟ่ เวโลโดม),Café,100.492017,13.755757
1,Temple of the Emerald Buddha (วัดพระศรีรัตนศาสดาราม (วัดพระแก้ว)),Buddhist Temple,100.49265146255493,13.751734643691861
2,Thokkathan-Mother Earth Squeezing Her Hair (พระแม่ธรณีบีบมวยผม อุทกทาน),Spiritual Center,100.49476730464075,13.756601843910255
3,The Grand Palace (พระบรมมหาราชวัง),Palace,100.49117576966269,13.751813689290364
4,Prasat Phra Thep Bidon (ปราสาทพระเทพบิดร),Palace,100.49272,13.751606
5,Siwamokhaphiman Hall (พระที่นั่งศิวโมกขพิมาน),Museum,100.49214,13.757516
6,พระที่นั่งพุทไธสวรรย์,History Museum,100.4921,13.7578945
7,Wat Mahathat Yuwarajarangsarit Rajaworamahavihara (วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร),Buddhist Temple,100.49048941692712,13.755066642937557
8,Bangkok National Museum (พิพิธภัณฑสถานแห่งชาติ พระนคร),History Museum,100.49243957896135,13.757215438529597
9,Tha Prachan (ท่าพระจันทร์),Neighborhood,100.48968227270649,13.756201088298637
10,R-Roy Garlic Bread (ขนมปังกระเทียมร้านอร่อย),Bakery,100.48970096348074,13.756171738063438
11,Tha Maharaj (ท่ามหาราช),Shopping Mall,100.48877081229503,13.754878037656617
12,Starbucks (สตาร์บัคส์),Coffee Shop,100.48869395790238,13.754670359216373
13,After You (อาฟเตอร์ ยู),Dessert Shop,100.48871767001823,13.754922376930377
14,Noa Noa Cafe (โนอะโนอะคาเฟ่),Japanese Restaurant,100.48872712206395,13.754620186987838
15,Favour Café,Café,100.48901740724114,13.754418135459991
16,The National Theatre (โรงละครแห่งชาติ),Theater,100.49286147385915,13.758806021120995
17,นิวย่งฮั้ว โภชนา,Chinese Restaurant,100.489486,13.756221
18,Queen Sirikit Museum of Textiles (พิพิธภัณฑ์ผ้า หอรัษฎากรพิพัฒน์ ในสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ),Art Museum,100.49092,13.751957
19,อาคุงเต้าฮวยโบราณ,Dessert Shop,100.489456,13.752773
20,Borom Phiman Mansion (พระที่นั่งบรมพิมาน),Historic Site,100.49297332763672,13.750489295912226
21,Thammasat University Bookstore (ศูนย์หนังสือมหาวิทยาลัยธรรมศาสตร์),College Bookstore,100.48970639705658,13.75657007352386
22,Thai Tham (ลูกชิ้น-มันสมองหมู ไทยทำ),Soup Place,100.4967156272417,13.75180880641601
23,Bite,Wings Joint,100.4888537740267,13.755112626962513
24,ร้านน้อง ท่าพระจันทร์,Record Shop,100.48924032102019,13.756455805279812
25,ศิริโภชนา,Noodle House,100.49717140606322,13.754559748264908
