,name,categories,lng,lat
0,The Bar Room at Temple Court,Hotel Bar,-74.00680157032005,40.7114477287544
1,"The Beekman, A Thompson Hotel",Hotel,-74.0067017,40.7111725
2,Alba Dry Cleaner & Tailor,Laundry Service,-74.00627233822603,40.71143355866638
3,City Hall Park,Park,-74.00779157376718,40.71189313746398
4,Gibney Dance Center Downtown,Dance Studio,-74.0056614920451,40.71392316324669
5,The Wooly Daily,Coffee Shop,-74.00839457685005,40.71213724343698
6,The Class by Taryn Toomey,Gym / Fitness Center,-74.00873355601571,40.71275251771485
7,CrossFit 212 TriBeCa,Gym,-74.00599852611592,40.714537431170484
8,Takahachi Bakery,Bakery,-74.0088038953017,40.713652845301894
9,Aahar Indian Cuisine,Indian Restaurant,-74.00799405698501,40.71330656515891
10,Birch Coffee,Coffee Shop,-74.00595340051164,40.71075943494384
11,Pisillo Italian Panini,Sandwich Place,-74.00752571804911,40.710530084460785
12,Four Seasons Hotel New York Downtown,Hotel,-74.00938032087628,40.71261246501983
13,Los Tacos No. 1,Taco Place,-74.008756,40.714267
14,The Hummus & Pita Co,Falafel Restaurant,-74.00685274843354,40.714453031801185
15,African Burial Ground National Monument,Monument / Landmark,-74.00552975826278,40.71498975306652
16,Church Street Boxing Gym,Boxing Gym,-74.00906676030888,40.713353574017404
17,Racines,French Restaurant,-74.0075806002039,40.714754151461236
18,Woolworth Building,Building,-74.00796435178208,40.712559078189095
19,Financial District Wine and Liquor,Liquor Store,-74.00693218119578,40.710984465759886
20,Kula Yoga Project,Yoga Studio,-74.00809356840004,40.714342290158086
21,Da Claudio,Italian Restaurant,-74.0076387699966,40.71082646010856
22,Joe’s Pizza,Pizza Place,-74.007769,40.710178
23,Temple Court,American Restaurant,-74.00683195829815,40.7114909233789
24,Sophie's Cuban Cuisine,Cuban Restaurant,-74.00765642063459,40.71480295894467
25,Shake Shack,Burger Joint,-74.00902390480042,40.71070286896417
26,Korin,Furniture / Home Store,-74.00940425461492,40.71482437714839
27,Nish Nūsh,Falafel Restaurant,-74.00772452925565,40.71553710116416
28,Equinox Tribeca,Gym,-74.0096857179283,40.71409860726041
29,Gran Morsi,Italian Restaurant,-74.00792514672226,40.714246192274395
