,name,categories,lng,lat,city
0,The Bar Room at Temple Court,Hotel Bar,-74.00680157032005,40.7114477287544,New_York
1,"The Beekman, A Thompson Hotel",Hotel,-74.0067017,40.7111725,New_York
2,Alba Dry Cleaner & Tailor,Laundry Service,-74.00627233822603,40.71143355866638,New_York
3,City Hall Park,Park,-74.00779157376718,40.71189313746398,New_York
4,Gibney Dance Center Downtown,Dance Studio,-74.0056614920451,40.71392316324669,New_York
5,The Wooly Daily,Coffee Shop,-74.00839457685005,40.71213724343698,New_York
6,The Class by Taryn Toomey,Gym / Fitness Center,-74.00873355601571,40.71275251771485,New_York
7,CrossFit 212 TriBeCa,Gym,-74.00599852611592,40.714537431170484,New_York
8,Takahachi Bakery,Bakery,-74.0088038953017,40.713652845301894,New_York
9,Aahar Indian Cuisine,Indian Restaurant,-74.00799405698501,40.71330656515891,New_York
10,Birch Coffee,Coffee Shop,-74.00595340051164,40.71075943494384,New_York
11,Pisillo Italian Panini,Sandwich Place,-74.00752571804911,40.710530084460785,New_York
12,Four Seasons Hotel New York Downtown,Hotel,-74.00938032087628,40.71261246501983,New_York
13,Los Tacos No. 1,Taco Place,-74.008756,40.714267,New_York
14,The Hummus & Pita Co,Falafel Restaurant,-74.00685274843354,40.714453031801185,New_York
15,African Burial Ground National Monument,Monument / Landmark,-74.00552975826278,40.71498975306652,New_York
16,Church Street Boxing Gym,Boxing Gym,-74.00906676030888,40.713353574017404,New_York
17,Racines,French Restaurant,-74.0075806002039,40.714754151461236,New_York
18,Woolworth Building,Building,-74.00796435178208,40.712559078189095,New_York
19,Financial District Wine and Liquor,Liquor Store,-74.00693218119578,40.710984465759886,New_York
20,Kula Yoga Project,Yoga Studio,-74.00809356840004,40.714342290158086,New_York
21,Da Claudio,Italian Restaurant,-74.0076387699966,40.71082646010856,New_York
22,Joe’s Pizza,Pizza Place,-74.007769,40.710178,New_York
23,Temple Court,American Restaurant,-74.00683195829815,40.7114909233789,New_York
24,Sophie's Cuban Cuisine,Cuban Restaurant,-74.00765642063459,40.71480295894467,New_York
25,Shake Shack,Burger Joint,-74.00902390480042,40.71070286896417,New_York
26,Korin,Furniture / Home Store,-74.00940425461492,40.71482437714839,New_York
27,Nish Nūsh,Falafel Restaurant,-74.00772452925565,40.71553710116416,New_York
28,Equinox Tribeca,Gym,-74.0096857179283,40.71409860726041,New_York
29,Gran Morsi,Italian Restaurant,-74.00792514672226,40.714246192274395,New_York
0,Café VeloDome (คาเฟ่ เวโลโดม),Café,100.492017,13.755757,bangkok
1,Temple of the Emerald Buddha (วัดพระศรีรัตนศาสดาราม (วัดพระแก้ว)),Buddhist Temple,100.49265146255493,13.751734643691861,bangkok
2,Thokkathan-Mother Earth Squeezing Her Hair (พระแม่ธรณีบีบมวยผม อุทกทาน),Spiritual Center,100.49476730464075,13.756601843910255,bangkok
3,The Grand Palace (พระบรมมหาราชวัง),Palace,100.49117576966269,13.751813689290364,bangkok
4,Prasat Phra Thep Bidon (ปราสาทพระเทพบิดร),Palace,100.49272,13.751606,bangkok
5,Siwamokhaphiman Hall (พระที่นั่งศิวโมกขพิมาน),Museum,100.49214,13.757516,bangkok
6,พระที่นั่งพุทไธสวรรย์,History Museum,100.4921,13.7578945,bangkok
7,Wat Mahathat Yuwarajarangsarit Rajaworamahavihara (วัดมหาธาตุยุวราชรังสฤษฎิ์ราชวรมหาวิหาร),Buddhist Temple,100.49048941692712,13.755066642937557,bangkok
8,Bangkok National Museum (พิพิธภัณฑสถานแห่งชาติ พระนคร),History Museum,100.49243957896135,13.757215438529597,bangkok
9,Tha Prachan (ท่าพระจันทร์),Neighborhood,100.48968227270649,13.756201088298637,bangkok
10,R-Roy Garlic Bread (ขนมปังกระเทียมร้านอร่อย),Bakery,100.48970096348074,13.756171738063438,bangkok
11,Tha Maharaj (ท่ามหาราช),Shopping Mall,100.48877081229503,13.754878037656617,bangkok
12,Starbucks (สตาร์บัคส์),Coffee Shop,100.48869395790238,13.754670359216373,bangkok
13,After You (อาฟเตอร์ ยู),Dessert Shop,100.48871767001823,13.754922376930377,bangkok
14,Noa Noa Cafe (โนอะโนอะคาเฟ่),Japanese Restaurant,100.48872712206395,13.754620186987838,bangkok
15,Favour Café,Café,100.48901740724114,13.754418135459991,bangkok
16,The National Theatre (โรงละครแห่งชาติ),Theater,100.49286147385915,13.758806021120995,bangkok
17,นิวย่งฮั้ว โภชนา,Chinese Restaurant,100.489486,13.756221,bangkok
18,Queen Sirikit Museum of Textiles (พิพิธภัณฑ์ผ้า หอรัษฎากรพิพัฒน์ ในสมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ),Art Museum,100.49092,13.751957,bangkok
19,อาคุงเต้าฮวยโบราณ,Dessert Shop,100.489456,13.752773,bangkok
20,Borom Phiman Mansion (พระที่นั่งบรมพิมาน),Historic Site,100.49297332763672,13.750489295912226,bangkok
21,Thammasat University Bookstore (ศูนย์หนังสือมหาวิทยาลัยธรรมศาสตร์),College Bookstore,100.48970639705658,13.75657007352386,bangkok
22,Thai Tham (ลูกชิ้น-มันสมองหมู ไทยทำ),Soup Place,100.4967156272417,13.75180880641601,bangkok
23,Bite,Wings Joint,100.4888537740267,13.755112626962513,bangkok
24,ร้านน้อง ท่าพระจันทร์,Record Shop,100.48924032102019,13.756455805279812,bangkok
25,ศิริโภชนา,Noodle House,100.49717140606322,13.754559748264908,bangkok
0,Grand Kitchen,American Restaurant,139.7614261221953,35.6840260345373,tokyo
1,Palace Hotel Tokyo (パレスホテル東京),Hotel,139.761302,35.684644,tokyo
2,Sushi Kanesaka (鮨 かねさか),Sushi Restaurant,139.761064,35.684559,tokyo
3,Wadakura Fountain Park (和田倉噴水公園),Park,139.760829,35.683453,tokyo
4,Amber Palace (琥珀宮),Chinese Restaurant,139.7614580754397,35.684647365903146,tokyo
5,Kokyo Gaien (皇居外苑),Garden,139.75856189668357,35.679927721917124,tokyo
6,The Palace Lounge,Lounge,139.7612428665161,35.68452468331624,tokyo
7,Imperial Palace Plaza (皇居前広場),Plaza,139.75718435640943,35.68009069055314,tokyo
8,Kikyomon Gate (桔梗門 (内桜田門)),Historic Site,139.758522,35.684016,tokyo
9,SWEETS & DELI,Dessert Shop,139.76161156513422,35.68441849929843,tokyo
10,Sakashitamon Gate (坂下門),Historic Site,139.7564556704967,35.68270609521312,tokyo
11,Wadakuramon Gate (和田倉門跡),Historic Site,139.7614817888174,35.682825940126435,tokyo
12,Imperial Palace East Garden (皇居東御苑),Park,139.75666165351868,35.68579697581925,tokyo
13,Delfonics,Paper / Office Supplies Store,139.76395785584342,35.68239795030291,tokyo
14,Barbacoa Classico,Brazilian Restaurant,139.7640169,35.6824199,tokyo
15,HEINZ BECK,Italian Restaurant,139.7624176740646,35.68441139601372,tokyo
16,Royal Bar (ロイヤルバー),Hotel Bar,139.76128964687,35.684615339387,tokyo
17,Wolfgang's Steakhouse,Steakhouse,139.76213368382767,35.67918500654332,tokyo
18,Otemon Gate (大手門),Historic Site,139.760138,35.68609,tokyo
19,Monna Lisa (モナリザ),French Restaurant,139.76371049880981,35.681189584848525,tokyo
