,referralId,reasons.count,reasons.items,venue.id,venue.name,venue.location.address,venue.location.crossStreet,venue.location.lat,venue.location.lng,venue.location.labeledLatLngs,venue.location.distance,venue.location.postalCode,venue.location.cc,venue.location.city,venue.location.state,venue.location.country,venue.location.formattedAddress,venue.categories,venue.photos.count,venue.photos.groups,venue.location.neighborhood,venue.venuePage.id
0,e-0-4fa0e65fe4b03ac4daf0aa6b-0,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fa0e65fe4b03ac4daf0aa6b,Grand Kitchen,丸の内1-1-1,パレスホテル東京 1F,35.6840260345373,139.7614261221953,"[{'label': 'display', 'lat': 35.6840260345373, 'lng': 139.7614261221953}]",221,100-0005,JP,東京,東京都,日本,"['丸の内1-1-1 (パレスホテル東京 1F)', '千代田区, 東京都', '100-0005', '日本']","[{'id': '4bf58dd8d48988d14e941735', 'name': 'American Restaurant', 'pluralName': 'American Restaurants', 'shortName': 'American', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}, 'primary': True}]",0,[],,
1,e-0-4b05879af964a520ac9b22e3-1,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b05879af964a520ac9b22e3,Palace Hotel Tokyo (パレスホテル東京),丸の内1-1-1,,35.684644,139.761302,"[{'label': 'display', 'lat': 35.684644, 'lng': 139.761302}]",261,100-0005,JP,東京,東京都,日本,"['丸の内1-1-1', '千代田区, 東京都', '100-0005', '日本']","[{'id': '4bf58dd8d48988d1fa931735', 'name': 'Hotel', 'pluralName': 'Hotels', 'shortName': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}, 'primary': True}]",0,[],,
2,e-0-50837f31e4b00b2c40b542ed-2,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",50837f31e4b00b2c40b542ed,Sushi Kanesaka (鮨 かねさか),丸の内1-1-1,パレスホテル東京 6F,35.684559,139.761064,"[{'label': 'display', 'lat': 35.684559, 'lng': 139.761064}]",240,100-0005,JP,東京,東京都,日本,"['丸の内1-1-1 (パレスホテル東京 6F)', '千代田区, 東京都', '100-0005', '日本']","[{'id': '4bf58dd8d48988d1d2941735', 'name': 'Sushi Restaurant', 'pluralName': 'Sushi Restaurants', 'shortName': 'Sushi', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}, 'primary': True}]",0,[],,
3,e-0-4b7f961bf964a5208c3530e3-3,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b7f961bf964a5208c3530e3,Wadakura Fountain Park (和田倉噴水公園),皇居外苑3-1,,35.683453,139.760829,"[{'label': 'display', 'lat': 35.683453, 'lng': 139.760829}]",141,100-0002,JP,東京,東京都,日本,"['皇居外苑3-1', '千代田区, 東京都', '100-0002', '日本']","[{'id': '4bf58dd8d48988d163941735', 'name': 'Park', 'pluralName': 'Parks', 'shortName': 'Park', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/park_', 'suffix': '.png'}, 'primary': True}]",0,[],,
4,e-0-4fc05964e4b08acecb0a8fa7-4,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fc05964e4b08acecb0a8fa7,Amber Palace (琥珀宮),丸ノ内1-1-1,パレスホテル東京 5F,35.684647365903146,139.7614580754397,"[{'label': 'display', 'lat': 35.684647365903146, 'lng': 139.7614580754397}]",270,100-0005,JP,東京,東京都,日本,"['丸ノ内1-1-1 (パレスホテル東京 5F)', '千代田区, 東京都', '100-0005', '日本']","[{'id': '4bf58dd8d48988d145941735', 'name': 'Chinese Restaurant', 'pluralName': 'Chinese Restaurants', 'shortName': 'Chinese', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/asian_', 'suffix': '.png'}, 'primary': True}]",0,[],,
5,e-0-4b58ec71f964a520467328e3-5,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b58ec71f964a520467328e3,Kokyo Gaien (皇居外苑),皇居外苑,,35.679927721917124,139.75856189668357,"[{'label': 'display', 'lat': 35.679927721917124, 'lng': 139.75856189668357}]",333,100-0002,JP,東京,東京都,日本,"['皇居外苑', '千代田区, 東京都', '100-0002', '日本']","[{'id': '4bf58dd8d48988d15a941735', 'name': 'Garden', 'pluralName': 'Gardens', 'shortName': 'Garden', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/garden_', 'suffix': '.png'}, 'primary': True}]",0,[],皇居,
6,e-0-4fb4ef3c6d8660d8e09ad90b-6,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fb4ef3c6d8660d8e09ad90b,The Palace Lounge,丸の内1-1-1,パレスホテル東京,35.68452468331624,139.7612428665161,"[{'label': 'display', 'lat': 35.68452468331624, 'lng': 139.7612428665161}]",247,100-0005,JP,東京,東京都,日本,"['丸の内1-1-1 (パレスホテル東京)', '千代田区, 東京都', '100-0005', '日本']","[{'id': '4bf58dd8d48988d121941735', 'name': 'Lounge', 'pluralName': 'Lounges', 'shortName': 'Lounge', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/default_', 'suffix': '.png'}, 'primary': True}]",0,[],,
7,e-0-4cb2c0cacbab236aaff2b273-7,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4cb2c0cacbab236aaff2b273,Imperial Palace Plaza (皇居前広場),皇居外苑1-1,,35.68009069055314,139.75718435640943,"[{'label': 'display', 'lat': 35.68009069055314, 'lng': 139.75718435640943}]",368,100-0002,JP,東京,東京都,日本,"['皇居外苑1-1', '千代田区, 東京都', '100-0002', '日本']","[{'id': '4bf58dd8d48988d164941735', 'name': 'Plaza', 'pluralName': 'Plazas', 'shortName': 'Plaza', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/parks_outdoors/plaza_', 'suffix': '.png'}, 'primary': True}]",0,[],,
8,e-0-4b7c17c1f964a520787c2fe3-8,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4b7c17c1f964a520787c2fe3,Kikyomon Gate (桔梗門 (内桜田門)),千代田1-1,皇居東御苑,35.684016,139.758522,"[{'label': 'display', 'lat': 35.684016, 'lng': 139.758522}]",155,100-0001,JP,東京,東京都,日本,"['千代田1-1 (皇居東御苑)', '千代田区, 東京都', '100-0001', '日本']","[{'id': '4deefb944765f83613cdba6e', 'name': 'Historic Site', 'pluralName': 'Historic Sites', 'shortName': 'Historic Site', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/arts_entertainment/historicsite_', 'suffix': '.png'}, 'primary': True}]",0,[],,
9,e-0-4fb4ec036d8660d8e09a490c-9,0,"[{'summary': 'This spot is popular', 'type': 'general', 'reasonName': 'globalInteractionReason'}]",4fb4ec036d8660d8e09a490c,SWEETS & DELI,丸の内1-1-1,パレスホテル東京 ホテルアーケード,35.68441849929843,139.76161156513422,"[{'label': 'display', 'lat': 35.68441849929843, 'lng': 139.76161156513422}]",262,,JP,東京,東京都,日本,"['丸の内1-1-1 (パレスホテル東京 ホテルアーケード)', '千代田区, 東京都', '日本']","[{'id': '4bf58dd8d48988d1d0941735', 'name': 'Dessert Shop', 'pluralName': 'Dessert Shops', 'shortName': 'Desserts', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}, 'primary': True}]",0,[],,
